date,exchange,market_type,trading_pair,volume
2022-12-10,kraken,spot,icp/eur,2368.563989759885
2022-12-10,binance,spot,nuls/busd,2844228.7640994624
2022-12-10,coinbase,spot,pols/usd,60841.24010281622
2022-12-10,kucoin,spot,coti/btc,4501.73131358613
20221210,bitstamp,spot,ens/usd,808.2140642981425
2022-12-10,binance,spot,wing/btc,61756.747753185184
2022-12-10,binance,spot,qtum/eth,271206.72329026536
2022-12-10,binance,spot,nmr/btc,467265.7286567029
2022-12-10,kucoin,spot,ava/eth,6980.725223741142
2022-12-10,binance,spot,dot/try,62581.85397334546
2022-12-10,kraken,spot,mngo/eur,454.16492710128216
2022-12-10,bittrex,spot,dep/btc,134.6286286249161
2022-12-10,binance,spot,xtz/try,22035.056151235847
2022-12-10,binance,spot,mina/busd,1120582.6687812714
2022-12-10,bittrex,spot,dot/usd,3682.9349478970776
2022-12-10,binance,spot,ata/busd,334961.60943218245
2022-12-10,kraken,spot,dot/eur,166411.53370462457
2022-12-10,coinbase,spot,deso/usd,1272368.7788599995
2022-12-10,binance,spot,bar/usdt,294111.5727609656
2022-12-10,kraken,spot,air/eur,1605.627626222072
2022-12-10,kraken,spot,aud/usd,12271.481575683698
2022-12-10,coinbase,spot,nmr/btc,25192.327532343388
2022-12-10,coinbase,spot,etc/eur,14663.28977930885
2022-12-10,kucoin,spot,iotx/eth,262.75434004902354
2022-12-10,binance,spot,rad/bnb,109876.90936042178
2022-12-10,bittrex,spot,grant/btc,6074.6076396099625
2022-12-10,binance,spot,pols/busd,1147783.9372268447
2022-12-10,binance,spot,city/busd,365796.3549771216
2022-12-10,kraken,spot,mkr/gbp,116.42399376005044
2022-12-10,binance,spot,ankr/usdt,3079148.1341062025
2022-12-10,kucoin,spot,usdc/usdt,3915440.231638615
2022-12-10,binance,spot,cos/try,789816.8293035842
2022-12-10,coinbase,spot,trac/eur,1287.4932555510811
2022-12-10,kucoin,spot,ctsi/btc,5859.264165858635
2022-12-10,kucoin,spot,rep/eth,1859.6523244033608
2022-12-10,bittrex,spot,dcr/btc,12659.55356846327
2022-12-10,coinbase,spot,xlm/btc,6171.389814068554
2022-12-10,binance,spot,atom/eth,216217.6735063992
2022-12-10,kucoin,spot,chz/usdt,674137.5691745174
2022-12-10,kucoin,spot,dcr/btc,18505.1502851869
2022-12-10,kraken,spot,ksm/btc,3131.6709567978933
2022-12-10,binance,spot,strax/eth,287976.76870617305
2022-12-10,bittrex,spot,roc/usdt,1018.285892947844
2022-12-10,kucoin,spot,iost/usdt,2805.5762395523725
2022-12-10,coinbase,spot,mir/gbp,359.6313587229644
2022-12-10,bittrex,spot,mnw/usdt,89.55542002509297
2022-12-10,coinbase,spot,mina/usdt,1678.669029795813
2022-12-10,kucoin,spot,ada/usdc,40651.75358170271
2022-12-10,binance,spot,fet/busd,12796214.933417834
2022-12-10,kucoin,spot,atom/usdt,3852337.8273004335
2022-12-10,kraken,spot,ldo/usd,7020.023170568101
20221210,bitstamp,spot,usdc/usdt,42998.13658698072
2022-12-10,binance,spot,mask/usdt,11684918.478716403
2022-12-10,binance,spot,celr/btc,91175.44262071546
2022-12-10,kucoin,spot,dash/kcs,988.4681082930988
2022-12-10,kucoin,spot,elf/eth,98273.38794724423
2022-12-10,kraken,spot,comp/btc,793.6325426469709
2022-12-10,kraken,spot,atom/eur,463578.6559562973
2022-12-10,bittrex,spot,rgt/usdt,6.848905759068236
2022-12-10,binance,spot,win/eur,229733.83933314768
2022-12-10,kucoin,spot,agix/usdt,695885.8743674065
2022-12-10,coinbase,spot,powr/usdt,1293.2610277578008
20221210,bitstamp,spot,gbp/usd,1357.193387501828
2022-12-10,kucoin,spot,nord/usdt,59631.31758942384
2022-12-10,kucoin,spot,dappt/btc,1640.488956368419
2022-12-10,binance,spot,torn/btc,105770.4609505491
2022-12-10,binance,spot,xrpup/usdt,274892.13993858616
2022-12-10,binance,spot,algo/busd,1960742.5244050312
2022-12-10,coinbase,spot,mir/eur,3748.643434897569
2022-12-10,coinbase,spot,nu/usd,73823.94945474961
2022-12-10,kraken,spot,link/gbp,2907.021881390202
2022-12-10,kraken,spot,zec/eur,9976.103034749174
2022-12-10,kraken,spot,glmr/eur,6151.98057484839
2022-12-10 00:00:00.000,gemini,spot,ctxf/usd,217.317142562252
2022-12-10,bittrex,spot,ocean/btc,278.66845401918306
2022-12-10,coinbase,spot,farm/usd,6486.130868392047
2022-12-10,bittrex,spot,spc/usdt,2384.532847734572
2022-12-10,binance,spot,tko/btc,782097.8355277363
2022-12-10,kraken,spot,kp3r/usd,14783.20795628118
20221210,bitstamp,spot,alpha/usd,445.1691782476176
2022-12-10,kucoin,spot,locg/usdt,3752.810058033116
2022-12-10,binance,spot,aave/bnb,23154.72557710943
2022-12-10,binance,spot,zec/eth,11331.215361345876
2022-12-10,kucoin,spot,usdt/tusd,55837.26407463955
2022-12-10,binance,spot,doge/rub,270890.2436723455
2022-12-10,binance,spot,theta/bnb,4710.444334264174
2022-12-10,coinbase,spot,ada/gbp,7129.21321277045
2022-12-10,coinbase,spot,dext/usd,3488.1546100000023
2022-12-10,binance,spot,glmr/bnb,272679.1585407869
2022-12-10,binance,spot,porto/btc,216173.37033992563
2022-12-10,coinbase,spot,crv/btc,19052.001013811856
2022-12-10,binance,spot,tvk/btc,888514.7826915517
2022-12-10,binance,spot,rune/try,26385.05815836864
2022-12-10,bittrex,spot,celo/eth,0.6488071944689223
2022-12-10,binance,spot,wrx/busd,200522.2932557829
2022-12-10,kucoin,spot,sol/usdt,1811507.0285610373
2022-12-10,kraken,spot,matic/btc,129836.48971688512
2022-12-10,binance,spot,bel/try,548740.312892895
2022-12-10,binance,spot,ctsi/busd,1295390.5099851848
2022-12-10,coinbase,spot,syn/usd,170497.75331000215
2022-12-10,kraken,spot,sushi/usd,10148.048548830511
2022-12-10,binance,spot,burger/usdt,3633219.618294188
2022-12-10,kucoin,spot,bao/usdt,50057.90934531063
2022-12-10,coinbase,spot,sol/usdt,407636.59744728514
2022-12-10,kraken,spot,aca/eur,2487.194499898764
2022-12-10,binance,spot,ygg/bnb,321490.76419064536
2022-12-10,binance,spot,chz/try,1963939.8518798896
2022-12-10,coinbase,spot,fil/btc,62710.0957856208
2022-12-10,binance,spot,knc/bnb,393096.6336145668
2022-12-10,binance,spot,pundix/eth,447373.3714501281
2022-12-10,binance,spot,sxp/try,92233.87451399997
2022-12-10,binance,spot,fxs/busd,652185.6289585496
2022-12-10,bittrex,spot,brz/btc,51.443519138919534
2022-12-10,bittrex,spot,pundix/eth,38.29962179622114
2022-12-10,binance,spot,dodo/busd,515865.164532732
2022-12-10,kraken,spot,rad/usd,339.0817377736051
2022-12-10,binance,spot,adadown/usdt,152989.11958475292
2022-12-10,kucoin,spot,luna2/usdc,8504.752355661236
2022-12-10,kraken,spot,dot/aud,517.6427523729684
2022-12-10,kucoin,spot,ampl/btc,32672.09418409596
2022-12-10,coinbase,spot,nct/usd,65905.67263999999
20221210,bitstamp,spot,ens/eur,233.1096996162412
2022-12-10,coinbase,spot,mtl/usd,14875.883159999998
2022-12-10,binance,spot,quick/btc,37249.040938508
2022-12-10,kraken,spot,ray/usd,1492.5711017939602
2022-12-10,bittrex,spot,amp/usdt,288.1174809356916
2022-12-10,binance,spot,xtz/eth,29349.542726351323
2022-12-10,coinbase,spot,gala/usdt,217749.29816508573
2022-12-10,binance,spot,rune/gbp,35870.42970183116
2022-12-10,binance,spot,front/busd,318852.09845992416
2022-12-10,kucoin,spot,req/btc,5249.719018723218
2022-12-10,coinbase,spot,shib/usdt,29709.75778235429
2022-12-10,kucoin,spot,front/btc,5253.588585360129
2022-12-10,binance,spot,shib/usdt,6596500.200277746
2022-12-10,binance,spot,front/btc,41561.40205382479
2022-12-10,binance,spot,flow/btc,103408.00604972844
2022-12-10,bittrex,spot,xtz/eth,0.980377204296772
2022-12-10,binance,spot,xmr/btc,3416268.8016856946
2022-12-10,kraken,spot,waves/usd,64513.84871307144
2022-12-10,kraken,spot,ens/eur,3960.969098301397
2022-12-10,binance,spot,pnet/usdt,2619713.647864592
2022-12-10,kraken,spot,xtz/eth,1316.8528607706794
2022-12-10,coinbase,spot,mask/eur,26781.38404187012
2022-12-10,binance,spot,atlm/usdt,206308.00921965032
2022-12-10,kucoin,spot,velo/usdt,93622.19830788951
2022-12-10,binance,spot,coti/bnb,510422.3367511245
2022-12-10,bittrex,spot,exp/btc,15.845309075912038
2022-12-10,binance,spot,gmt/brl,465047.3845364973
2022-12-10,binance,spot,hot/usdt,862506.2123586398
